SecurityId,Price,AsOfDate
AMZN,851.74,05/13/2022 22:34:43
FB,931.61,10/29/2022 11:51:47
AAPL,336.13,11/05/2021 16:40:13
FB,486.87,06/03/2023 00:53:47
AMZN,763.46,01/02/2023 11:05:16
GOOGL,377.13,10/03/2020 17:58:20
FB,737.85,12/01/2020 07:56:34
GOOGL,197.64,02/24/2022 08:36:34
FB,657.92,06/21/2023 01:50:41
AMZN,215.47,11/14/2021 20:36:24
AMZN,410.56,02/26/2022 20:23:18
FB,64.50,02/12/2022 01:06:43
GOOGL,992.62,09/12/2022 16:49:52
GOOGL,127.57,09/06/2021 05:21:21
AMZN,730.25,10/13/2022 16:15:26
AMZN,61.84,07/19/2023 21:07:41
MSFT,27.30,03/13/2022 11:05:51
GOOGL,150.13,07/25/2022 23:11:53
MSFT,43.38,07/30/2022 02:03:35
AMZN,685.52,11/14/2022 15:31:22
FB,872.79,06/23/2021 20:28:53
AAPL,17.86,08/10/2021 21:57:30
AMZN,845.63,01/24/2022 19:11:48
GOOGL,343.98,05/01/2021 14:37:04
AMZN,662.74,05/21/2023 01:00:45
MSFT,829.61,02/13/2022 05:09:02
GOOGL,718.72,08/13/2022 03:00:55
MSFT,232.50,12/02/2022 06:05:57
GOOGL,445.87,02/17/2022 01:31:24
FB,348.09,11/18/2022 14:53:41
GOOGL,578.99,12/29/2021 05:18:53
AMZN,95.92,11/30/2022 18:53:27
AMZN,444.39,08/26/2021 07:44:19
FB,322.04,06/21/2022 16:21:29
AMZN,385.78,08/06/2021 10:40:37
AMZN,71.00,12/07/2022 20:03:19
GOOGL,819.70,10/30/2022 00:47:14
GOOGL,244.93,06/01/2021 13:50:33
MSFT,171.62,09/28/2021 22:25:19
MSFT,196.65,10/22/2020 10:33:37
AMZN,395.60,09/22/2022 01:02:28
FB,146.52,09/04/2022 17:10:33
AAPL,711.99,08/26/2023 16:30:47
FB,329.97,11/06/2021 10:11:01
MSFT,661.41,04/06/2023 01:11:23
AAPL,537.34,01/03/2021 19:36:37
AMZN,208.59,01/16/2023 07:28:57
GOOGL,533.84,09/06/2023 14:24:43
GOOGL,365.44,06/17/2023 00:53:20
FB,884.59,06/23/2022 19:31:30
GOOGL,609.11,01/11/2022 20:00:47
FB,603.92,06/27/2022 00:09:36
GOOGL,882.32,12/11/2021 06:42:01
FB,804.50,01/05/2021 18:58:01
AAPL,770.83,07/30/2021 06:26:39
MSFT,511.41,07/20/2023 08:36:17
FB,358.05,06/17/2022 14:02:54
AAPL,948.11,01/03/2022 08:49:53
AAPL,176.12,01/31/2022 12:44:44
GOOGL,874.41,10/23/2022 10:16:58
AMZN,761.47,02/12/2021 14:35:36
MSFT,705.47,01/24/2021 20:16:22
AAPL,740.42,12/07/2020 01:57:44
AAPL,213.14,06/12/2022 01:37:49
MSFT,672.64,04/02/2021 04:49:15
AMZN,338.90,05/19/2022 10:47:10
FB,874.88,06/28/2023 10:33:29
MSFT,444.34,02/20/2023 02:52:21
FB,551.32,09/05/2021 16:42:24
AMZN,871.09,07/25/2022 14:52:54
FB,503.82,12/21/2020 21:02:35
FB,200.31,08/30/2021 00:56:23
AAPL,416.14,01/02/2021 13:11:26
FB,224.97,05/21/2021 00:27:13
MSFT,271.24,12/31/2022 06:05:15
AMZN,718.81,03/26/2022 14:24:38
GOOGL,133.39,05/08/2022 10:52:56
GOOGL,544.14,07/17/2021 00:48:33
GOOGL,912.61,05/06/2021 08:18:14
AMZN,626.16,11/27/2021 00:42:32
AMZN,400.13,09/02/2022 17:41:13
FB,790.92,12/08/2022 05:43:51
AMZN,901.99,03/17/2021 12:45:01
GOOGL,705.67,11/07/2020 16:38:19
AMZN,115.07,08/29/2023 10:43:56
GOOGL,736.46,06/21/2023 23:22:54
GOOGL,663.08,09/15/2020 04:28:23
AMZN,127.42,01/27/2023 15:14:23
AAPL,349.59,08/24/2022 23:09:52
MSFT,204.92,11/24/2020 03:41:28
AAPL,413.84,11/26/2022 07:53:24
FB,781.94,08/28/2023 12:36:58
MSFT,307.62,02/08/2022 14:20:03
AMZN,980.42,04/27/2022 23:21:54
FB,868.06,07/20/2022 03:40:05
GOOGL,478.18,03/22/2023 13:09:45
MSFT,118.23,07/14/2023 23:34:03
MSFT,273.22,05/17/2022 19:36:41
FB,684.07,05/18/2022 16:19:29
AMZN,64.30,10/05/2022 04:54:26
GOOGL,291.03,09/24/2021 10:23:41
MSFT,142.63,12/10/2021 05:53:11
MSFT,361.19,03/15/2021 04:55:33
AMZN,859.18,04/19/2023 22:11:22
AAPL,744.90,11/12/2020 03:24:35
MSFT,349.60,12/16/2022 11:15:14
AMZN,470.26,06/22/2021 13:44:49
FB,721.10,04/23/2021 06:52:01
GOOGL,862.09,03/29/2023 00:27:17
AAPL,173.87,03/28/2023 03:20:48
AAPL,93.77,10/24/2020 06:14:47
AAPL,973.08,05/17/2021 15:02:17
AAPL,234.92,11/17/2022 13:14:42
AAPL,947.19,09/09/2023 18:08:05
MSFT,187.34,11/03/2020 09:09:36
MSFT,609.75,11/27/2020 18:36:05
GOOGL,543.19,10/07/2021 16:58:29
MSFT,194.90,10/11/2020 01:33:31
FB,630.65,12/01/2020 12:06:22
GOOGL,438.58,05/10/2023 11:37:01
AAPL,79.59,09/01/2023 10:51:14
FB,959.16,11/14/2022 21:24:23
AMZN,502.14,04/04/2021 06:22:40
AMZN,162.59,04/29/2021 07:39:39
AAPL,915.10,10/18/2021 02:12:46
AMZN,456.37,09/26/2021 04:06:39
MSFT,254.77,01/09/2023 08:37:12
MSFT,987.03,01/04/2021 19:02:36
FB,581.34,08/17/2021 09:55:18
GOOGL,189.13,01/29/2023 05:57:22
GOOGL,645.34,12/23/2020 10:39:16
MSFT,693.73,08/28/2021 03:19:36
AMZN,380.86,04/25/2021 08:12:21
MSFT,413.88,12/15/2022 06:53:01
FB,521.45,08/29/2022 03:53:10
MSFT,769.60,11/19/2021 07:30:24
AMZN,326.49,04/22/2023 06:37:59
AMZN,984.51,12/01/2020 07:07:25
GOOGL,953.94,11/03/2022 08:22:35
AMZN,844.01,10/20/2021 06:02:15
AAPL,577.23,12/02/2020 22:48:00
AAPL,507.89,01/26/2022 17:04:54
AAPL,24.07,12/06/2021 15:52:54
GOOGL,187.85,08/10/2023 21:57:04
FB,256.13,09/12/2023 08:51:56
MSFT,37.36,01/23/2022 01:22:36
AAPL,220.62,01/13/2023 22:46:24
AMZN,579.63,05/31/2021 18:08:15
FB,95.41,01/20/2022 23:04:14
AAPL,556.97,08/22/2022 11:48:40
AAPL,832.31,03/26/2023 06:52:42
AMZN,666.19,03/17/2023 07:00:35
FB,570.82,12/09/2022 19:16:47
FB,547.92,02/10/2022 09:53:42
MSFT,262.90,05/15/2021 05:19:29
GOOGL,899.00,02/10/2022 02:15:23
MSFT,738.14,08/15/2022 04:25:11
FB,765.53,12/29/2021 18:12:14
MSFT,625.76,10/25/2022 12:43:35
FB,139.27,01/21/2022 08:42:25
MSFT,976.10,10/25/2020 16:11:19
MSFT,961.24,08/24/2023 10:29:45
FB,885.97,10/11/2021 09:27:03
FB,479.72,06/01/2021 02:08:00
MSFT,232.22,08/29/2021 11:53:12
GOOGL,518.04,11/18/2021 03:26:19
MSFT,961.17,01/28/2021 16:37:13
FB,3.45,05/07/2021 02:16:18
AAPL,545.56,07/13/2023 22:05:31
AAPL,25.51,07/03/2022 05:24:28
AMZN,379.31,09/04/2023 23:21:41
GOOGL,629.55,07/04/2021 09:13:42
GOOGL,147.54,03/31/2022 03:35:54
FB,762.69,05/31/2023 13:56:47
AAPL,903.19,09/19/2021 16:47:20
AAPL,204.63,05/11/2021 15:01:22
AAPL,212.15,09/18/2022 11:21:51
GOOGL,821.39,06/19/2021 20:56:53
AAPL,53.88,10/21/2021 02:38:58
AAPL,708.33,03/23/2023 11:51:47
AMZN,253.18,03/03/2021 05:09:36
FB,796.41,04/23/2021 20:03:08
FB,772.06,10/18/2022 04:23:16
AAPL,512.98,01/07/2021 15:51:25
GOOGL,637.90,07/20/2023 22:37:43
GOOGL,64.68,03/18/2021 14:37:16
FB,686.05,06/29/2022 12:51:06
FB,152.34,04/26/2023 23:12:35
GOOGL,170.50,08/31/2021 12:49:49
GOOGL,538.62,10/08/2021 10:05:43
GOOGL,239.18,09/10/2022 07:33:06
AAPL,263.11,04/18/2022 08:47:49
AMZN,465.92,04/12/2022 13:32:40
MSFT,221.57,10/19/2022 00:15:35
FB,225.24,04/25/2021 09:48:24
AMZN,248.59,05/12/2021 05:53:51
MSFT,92.75,10/17/2021 02:48:00
GOOGL,407.57,12/27/2021 02:57:38
MSFT,822.17,03/21/2021 05:36:31
MSFT,975.50,07/22/2023 22:58:28
AMZN,526.99,08/10/2022 13:23:53
AAPL,182.19,12/17/2021 05:27:58
GOOGL,616.58,03/18/2023 08:18:49
FB,621.38,02/14/2023 01:04:26
FB,707.28,09/18/2021 22:27:56
MSFT,140.60,08/16/2021 11:48:18
AAPL,136.52,10/08/2020 16:12:05
AAPL,851.91,07/12/2021 20:29:21
AAPL,810.85,08/23/2023 04:48:28
AMZN,436.32,01/02/2021 17:00:33
FB,21.69,07/21/2021 10:32:54
GOOGL,103.70,01/16/2022 12:52:00
MSFT,422.76,12/24/2020 06:03:42
FB,44.87,12/08/2020 10:53:24
AAPL,133.70,02/27/2021 20:22:32
GOOGL,822.76,01/07/2021 12:38:30
GOOGL,237.73,09/04/2021 00:42:52
MSFT,165.59,06/25/2021 11:53:48
FB,292.53,04/14/2021 03:01:49
MSFT,645.01,08/11/2023 14:14:38
GOOGL,192.39,11/14/2020 05:31:32
MSFT,135.08,02/23/2022 19:08:13
FB,160.55,08/10/2023 12:20:02
MSFT,288.32,10/14/2020 11:58:26
AMZN,768.66,04/03/2021 05:55:31
FB,672.65,06/15/2021 08:44:53
MSFT,896.30,05/19/2021 11:03:13
GOOGL,179.89,12/30/2020 22:16:08
GOOGL,294.03,09/24/2022 10:21:10
GOOGL,994.79,11/22/2020 22:33:44
MSFT,121.92,10/25/2020 23:21:44
AAPL,422.13,07/19/2021 04:29:20
AAPL,615.30,10/20/2021 08:14:31
GOOGL,341.46,02/09/2022 12:35:50
GOOGL,597.12,10/19/2020 14:29:57
AMZN,714.54,01/23/2021 16:39:33
GOOGL,787.82,02/08/2023 11:14:47
AMZN,781.40,11/18/2022 19:51:48
AMZN,123.41,06/04/2023 13:56:01
GOOGL,274.10,08/11/2021 16:42:51
MSFT,538.48,06/14/2022 11:57:59
MSFT,719.82,04/13/2021 07:04:15
FB,686.22,01/08/2022 17:01:06
AMZN,80.38,06/03/2021 21:56:35
AAPL,772.69,06/25/2023 02:55:33
AAPL,349.93,11/11/2021 02:29:42
AAPL,412.51,10/12/2022 18:08:26
GOOGL,53.47,11/23/2021 06:00:46
GOOGL,396.98,12/29/2020 22:55:03
AMZN,962.77,06/29/2021 00:13:33
AMZN,134.19,03/31/2023 22:01:21
MSFT,520.48,08/10/2023 14:26:31
MSFT,623.06,07/17/2022 04:36:41
AMZN,836.06,11/03/2020 16:22:37
AMZN,744.10,07/18/2023 13:35:26
MSFT,641.07,01/15/2023 03:03:55
AAPL,541.74,01/19/2023 03:34:14
GOOGL,540.02,05/13/2021 11:49:49
MSFT,292.81,08/20/2022 10:18:14
GOOGL,838.32,03/02/2021 03:37:02
AMZN,904.77,11/28/2020 11:48:35
AAPL,260.39,06/20/2023 14:14:36
MSFT,252.88,07/12/2023 18:36:31
AAPL,769.89,09/07/2021 09:10:25
FB,610.70,07/03/2021 15:08:24
GOOGL,681.95,04/28/2022 06:39:48
MSFT,137.60,05/30/2022 04:45:19
MSFT,564.32,09/18/2020 11:22:25
GOOGL,371.17,06/22/2022 13:11:39
FB,296.83,03/13/2021 08:54:58
AAPL,48.22,05/31/2023 20:15:53
MSFT,796.61,07/19/2021 10:27:35
AAPL,288.74,07/03/2023 17:05:00
MSFT,697.21,12/29/2020 22:38:13
GOOGL,87.42,12/27/2020 16:37:45
AMZN,167.99,12/17/2020 20:14:36
GOOGL,366.62,11/07/2020 00:28:17
AMZN,855.04,03/13/2023 16:06:18
GOOGL,463.40,01/04/2022 14:23:09
GOOGL,230.20,03/10/2022 09:07:45
FB,763.53,03/14/2021 01:47:29
FB,869.79,07/30/2022 01:17:21
AMZN,225.74,11/13/2022 03:54:20
MSFT,731.48,08/28/2022 07:17:57
FB,863.90,06/22/2021 22:04:51
GOOGL,630.02,05/10/2023 13:43:01
AAPL,708.04,12/09/2022 12:01:25
AMZN,303.54,08/19/2021 18:05:46
AAPL,532.61,03/28/2023 07:13:56
AMZN,223.16,10/30/2020 01:05:06
AAPL,358.22,12/07/2020 20:06:57
AAPL,5.86,08/01/2021 22:57:26
GOOGL,661.17,01/29/2023 08:28:34
AMZN,618.65,07/06/2023 14:07:19
GOOGL,55.66,01/04/2023 07:06:32
MSFT,263.29,08/14/2023 05:17:46
MSFT,78.90,12/19/2021 05:55:34
AAPL,140.92,05/06/2023 11:29:51
AAPL,64.44,09/06/2023 14:15:28
MSFT,649.76,04/13/2023 06:12:50
AAPL,863.49,06/30/2023 08:23:14
FB,762.30,06/24/2021 17:14:22
AMZN,683.70,11/29/2022 00:47:26
AAPL,743.45,12/05/2022 13:54:36
MSFT,905.96,03/02/2022 21:47:17
FB,647.82,01/26/2023 18:51:58
MSFT,848.90,10/09/2022 20:55:46
MSFT,427.27,08/15/2021 23:39:49
MSFT,954.51,01/16/2021 08:23:33
MSFT,391.01,02/13/2023 21:04:05
AMZN,401.37,12/23/2020 10:20:02
FB,623.27,09/12/2020 22:53:42
GOOGL,504.94,01/25/2021 01:32:07
AMZN,879.23,11/25/2020 09:12:04
FB,380.43,05/31/2022 16:40:52
GOOGL,467.20,08/06/2023 09:41:30
AMZN,56.59,03/21/2023 09:28:25
GOOGL,723.38,09/11/2022 05:16:29
MSFT,670.58,03/29/2021 11:03:45
AMZN,447.31,01/18/2022 17:27:00
FB,649.76,10/21/2022 17:26:18
MSFT,229.38,07/31/2021 08:59:05
GOOGL,400.43,06/01/2022 21:43:28
AMZN,138.35,01/11/2023 02:31:30
AMZN,191.58,09/15/2020 01:38:44
GOOGL,626.81,02/20/2023 17:59:21
AMZN,681.71,11/03/2020 11:14:15
MSFT,918.56,07/11/2022 23:17:25
MSFT,569.86,10/24/2021 19:30:35
FB,985.06,04/14/2023 00:41:15
FB,571.58,12/19/2020 03:58:39
MSFT,104.29,06/23/2023 12:14:53
GOOGL,795.58,12/20/2022 20:04:17
GOOGL,892.85,07/12/2022 23:04:52
FB,475.79,11/21/2020 16:02:31
FB,420.26,05/28/2021 12:20:23
AMZN,808.45,10/08/2020 12:50:31
FB,273.46,08/15/2021 01:44:20
AMZN,970.52,03/08/2023 16:21:09
AMZN,236.34,02/14/2021 15:22:58
MSFT,317.24,01/01/2023 04:40:50
MSFT,777.69,07/14/2021 22:16:09
MSFT,827.62,03/13/2021 12:31:12
AMZN,203.48,05/29/2023 02:58:57
GOOGL,511.54,05/22/2023 17:15:05
