CurrencyPair,Rate,AsOfDate
MZN/CUP,471.90,08/17/2023 17:47:07
XAU/UAH,559.02,05/29/2023 06:25:49
LVL/NAD,420.92,06/25/2021 18:26:50
LTL/CRC,929.27,12/05/2022 09:50:59
STN/BGN,507.08,11/11/2022 02:04:39
BDT/BYR,71.39,08/06/2021 23:57:03
GTQ/KWD,344.63,02/12/2022 20:22:11
HKD/LKR,765.22,08/31/2021 07:48:03
SEK/YER,981.04,08/21/2023 20:56:27
KGS/MXN,756.80,11/09/2021 02:18:57
NIO/XPT,214.52,04/21/2021 18:19:47
XDR/UZS,968.51,12/13/2021 07:35:11
KYD/NGN,227.35,02/26/2021 20:49:33
GBP/MKD,507.02,12/04/2022 22:59:14
MRO/ALL,876.51,06/01/2021 21:20:16
HRK/ANG,329.81,12/23/2022 16:34:04
SZL/CHF,415.87,06/26/2021 23:58:31
WST/XTS,24.14,05/13/2023 07:16:29
NAD/ANG,935.79,07/03/2021 11:20:24
BWP/JMD,173.77,04/12/2022 23:42:29
HUF/CUC,237.25,10/13/2022 21:44:56
TJS/TTD,904.10,07/02/2021 04:10:40
WST/GYD,212.38,03/18/2021 22:31:11
XFU/XOF,741.74,05/27/2023 16:13:51
MDL/ETB,965.69,04/25/2023 04:19:22
EGP/SEK,154.08,11/18/2021 03:23:33
IDR/CVE,139.06,11/03/2022 19:51:55
PEN/LKR,762.78,08/01/2022 23:47:25
PLN/BIF,769.77,04/18/2022 21:51:21
LRD/KWD,915.42,03/20/2023 23:44:19
LTL/GNF,38.80,04/14/2023 12:47:22
XBC/UYU,61.97,07/26/2021 01:00:14
HUF/AOA,293.48,12/12/2022 20:40:42
JMD/ARS,39.60,07/12/2023 15:53:37
MVR/KGS,364.29,06/17/2022 07:48:53
BSD/AED,216.44,11/16/2021 15:24:43
GYD/ZMK,911.74,11/13/2022 15:06:48
KRW/DKK,555.40,07/08/2022 01:18:51
MGA/KPW,926.01,03/03/2022 09:00:49
CAD/INR,187.89,08/13/2023 10:39:12
BSD/KMF,930.76,12/28/2022 19:48:12
BOB/VEF,154.10,12/06/2021 03:42:09
VEF/AED,277.91,12/12/2021 22:21:57
XPF/TZS,88.10,02/16/2022 16:22:57
MGA/HNL,260.30,07/09/2022 15:49:38
VND/LAK,613.81,05/28/2023 17:11:20
FKP/BTN,393.90,03/01/2023 05:19:39
KYD/KZT,260.62,08/24/2021 15:28:49
UGX/XTS,450.55,06/20/2022 22:52:44
PLN/GNF,471.73,09/23/2022 07:15:20
IRR/CDF,447.32,05/04/2021 14:50:46
MYR/ERN,861.12,05/09/2021 19:05:34
BDT/AMD,778.55,04/01/2023 14:25:23
WST/NAD,893.07,06/19/2023 01:11:04
GBP/MOP,99.16,09/28/2022 04:07:07
PEN/HRK,673.29,09/08/2023 08:15:02
BBD/MWK,336.14,03/15/2022 00:59:39
AOA/XAU,31.80,09/02/2021 16:15:45
DOP/FKP,213.39,08/15/2022 07:25:54
MKD/NOK,939.03,04/07/2021 18:54:21
EEK/RWF,431.71,03/12/2023 06:06:42
STN/CHF,467.62,08/24/2021 23:39:25
XPF/VEF,131.71,06/15/2023 00:05:46
RON/XBB,363.44,05/19/2022 17:21:31
MGA/INR,431.31,09/15/2021 19:29:18
TND/XBD,203.65,02/18/2023 18:30:17
BYR/RON,178.67,07/18/2021 10:12:02
ZWL/MNT,835.48,02/11/2023 23:05:21
BIF/ZAR,765.92,07/26/2022 14:50:05
TWD/CRC,50.53,05/08/2021 08:59:28
SVC/MYR,461.40,05/16/2023 22:37:40
SOS/JOD,438.81,10/09/2021 16:04:45
AMD/EUR,522.50,03/13/2023 00:05:48
CZK/RWF,377.23,02/18/2022 07:46:51
GEL/AZN,744.62,05/31/2021 07:36:35
AFN/AWG,489.36,04/17/2023 07:43:03
EGP/SLL,870.01,11/29/2022 11:09:06
KMF/INR,781.49,09/19/2022 00:37:10
NIO/PGK,9.00,11/16/2020 17:08:39
SHP/LBP,460.01,09/04/2021 13:16:59
XPT/OMR,363.55,09/06/2022 05:45:48
BDT/NOK,213.86,12/13/2022 03:50:06
NIO/GNF,514.35,02/14/2021 17:57:25
EUR/RUB,488.57,03/31/2023 10:14:06
PGK/GTQ,472.77,05/03/2023 10:14:09
RSD/CUC,849.02,04/16/2023 05:02:17
MDL/MUR,752.00,06/08/2023 23:31:12
CRC/OMR,37.66,08/13/2022 09:01:06
NGN/BWP,691.17,10/13/2022 17:12:45
ZWL/GEL,460.74,05/13/2021 10:48:32
KMF/CNY,898.75,10/12/2021 07:43:52
AMD/PEN,157.91,06/23/2023 00:16:20
BGN/HNL,79.90,12/22/2021 06:21:45
MAD/ILS,147.91,11/18/2020 01:54:23
IRR/XDR,526.57,01/15/2022 04:39:48
XTS/BIF,616.43,11/24/2021 21:37:20
RSD/RWF,456.67,03/08/2023 03:59:48
SHP/ZWL,941.07,05/07/2021 13:37:05
SHP/GYD,839.61,03/12/2023 04:04:51
JPY/BGN,869.45,07/27/2023 03:26:49
USD/JMD,956.04,12/21/2022 13:50:09
CNY/UGX,673.75,09/08/2022 21:20:57
MMK/FKP,675.93,10/26/2021 05:00:36
NPR/XPT,693.26,01/01/2021 13:52:21
PKR/KRW,909.69,10/26/2020 09:32:49
MXN/KPW,735.15,02/04/2022 13:08:25
TJS/BND,716.66,08/05/2023 14:44:05
KWD/SZL,517.58,06/11/2021 11:10:46
KYD/CUC,198.90,06/28/2023 18:18:30
SDG/HUF,971.02,04/12/2022 23:53:43
MYR/INR,355.26,06/26/2021 23:03:56
CHF/SOS,701.50,11/23/2021 02:33:02
ISK/LVL,628.74,11/04/2022 15:57:29
MVR/LAK,312.47,04/08/2022 06:25:37
BMD/XCD,802.70,05/16/2022 07:16:12
AZN/BAM,573.68,10/21/2021 16:07:41
KZT/XDR,688.24,09/02/2023 09:11:31
EUR/KES,999.23,05/15/2021 09:36:06
TOP/OMR,478.51,01/26/2023 10:50:02
XBD/EGP,454.96,03/10/2021 12:00:08
LTL/MRO,211.95,02/04/2021 11:24:34
XPT/KZT,909.52,05/03/2022 23:58:49
XAU/XPT,254.94,04/19/2023 03:37:56
PHP/PEN,80.95,06/29/2021 18:22:11
SRD/BSD,173.52,01/01/2022 12:18:00
RWF/MXN,326.70,04/16/2023 01:25:41
AED/BHD,650.41,11/13/2020 16:09:23
GBP/MXN,5.16,01/15/2023 15:43:28
BHD/KYD,26.45,01/24/2021 02:08:43
LTL/ISK,64.27,05/15/2023 19:59:06
LRD/GIP,403.36,12/18/2021 16:01:41
BRL/UAH,781.70,02/07/2023 14:14:00
BHD/BOB,180.40,07/26/2023 06:23:34
BWP/CUP,945.48,11/14/2021 08:30:13
AWG/RWF,659.40,07/15/2022 02:00:37
CVE/XFU,343.40,11/07/2021 22:59:30
FJD/LBP,55.41,09/29/2021 06:01:49
MVR/XBB,90.69,07/01/2022 06:58:06
ISK/NOK,154.84,08/11/2022 18:36:35
KPW/GIP,830.02,03/24/2022 04:26:07
SDG/KPW,164.00,01/22/2023 22:33:32
BHD/SHP,533.85,07/02/2023 13:42:39
CAD/UAH,248.88,11/12/2022 12:58:53
MZN/ZWL,759.42,04/28/2021 00:28:43
MVR/DKK,423.69,06/08/2021 09:27:48
MWK/XDR,964.89,07/09/2021 16:41:42
LBP/HTG,883.53,07/12/2023 00:13:57
MUR/RUB,561.63,12/08/2021 00:47:19
LSL/XDR,664.16,03/03/2022 04:04:57
LBP/VEF,458.30,11/27/2021 13:08:07
SBD/GTQ,430.53,02/05/2021 07:24:54
LTL/MUR,283.39,03/10/2021 03:50:34
BGN/NOK,69.43,10/28/2021 06:09:39
SRD/TOP,666.65,11/03/2022 18:50:41
KRW/PGK,352.51,11/16/2020 13:06:48
RSD/PLN,99.47,01/21/2022 12:14:53
XAU/TTD,113.14,08/04/2021 10:59:59
BND/BGN,445.12,04/25/2022 06:42:15
SOS/KRW,23.30,06/16/2023 08:51:07
UYU/TWD,257.27,05/23/2022 10:23:21
TJS/NPR,400.58,04/27/2023 11:13:57
INR/KHR,827.11,08/13/2023 10:30:56
CZK/XTS,679.54,09/22/2021 22:00:12
KWD/TND,889.09,05/23/2022 18:12:11
MYR/DJF,535.55,08/23/2022 08:26:35
ANG/GMD,681.66,09/15/2021 12:14:46
WST/SHP,408.67,05/22/2023 18:56:19
MAD/SLL,608.75,10/19/2021 01:51:04
INR/EEK,296.58,11/03/2022 18:44:55
SZL/FJD,43.97,09/13/2021 22:20:53
QAR/NAD,26.11,02/07/2022 02:09:09
PKR/RWF,344.85,04/25/2022 17:11:24
LSL/MMK,472.68,09/12/2021 09:10:34
XAF/LTL,639.68,08/08/2023 11:56:28
WST/BHD,552.52,08/09/2021 14:19:11
MYR/BAM,907.01,06/07/2023 22:39:27
MUR/DJF,456.48,08/05/2023 21:20:18
SHP/CDF,54.74,05/26/2022 13:24:27
WST/SCR,287.44,06/14/2021 04:45:59
LVL/NIO,463.82,02/27/2023 00:54:41
VEF/DJF,792.88,03/10/2022 02:04:07
RWF/MUR,135.83,11/20/2021 10:13:15
AOA/WST,219.49,05/17/2023 04:51:01
SEK/CVE,511.07,09/04/2022 15:15:02
UGX/KPW,609.29,05/02/2022 04:20:49
BAM/SAR,64.05,10/15/2022 22:42:30
NAD/UGX,10.57,02/24/2023 16:33:08
PHP/GYD,228.55,07/19/2022 16:56:52
SCR/RUB,491.94,04/17/2021 12:23:37
RSD/GEL,629.31,05/06/2022 06:53:25
UZS/MOP,40.19,12/19/2021 13:03:00
KYD/PKR,645.94,02/07/2023 00:25:32
CUC/CAD,912.43,05/01/2023 00:16:06
BDT/GBP,93.23,08/13/2023 23:52:50
LKR/XDR,361.36,02/01/2021 09:02:32
TND/GBP,884.41,07/24/2022 03:50:12
CHF/PHP,440.87,04/13/2023 23:23:46
VND/MDL,204.58,08/24/2021 03:57:02
DZD/GIP,313.69,07/26/2023 06:51:53
BBD/KWD,354.51,11/25/2021 17:16:21
TJS/TZS,95.12,01/07/2021 17:19:32
SAR/NIO,250.94,11/25/2021 02:23:17
BWP/UZS,118.43,05/04/2023 21:33:34
IQD/GYD,683.59,10/11/2021 19:22:29
KWD/EGP,118.58,07/29/2023 22:49:34
MAD/VEF,230.70,10/27/2020 15:13:22
LYD/FKP,830.47,01/02/2022 06:09:17
KGS/CNY,53.74,06/21/2023 15:02:49
RSD/TMT,344.51,04/16/2021 15:05:16
MMK/ZMK,724.62,10/27/2022 21:05:30
KMF/NAD,786.38,10/21/2022 01:12:52
CZK/UYU,353.14,07/21/2022 06:51:41
UGX/HTG,196.11,02/18/2021 09:20:12
UGX/GTQ,473.77,04/01/2022 19:14:05
TOP/LAK,289.79,06/14/2022 17:09:26
SCR/RON,725.45,02/20/2023 17:50:20
IDR/SAR,551.75,07/12/2023 16:41:46
CZK/RON,963.87,09/16/2022 07:57:43
BIF/AOA,186.16,01/06/2021 16:06:42
THB/EUR,765.91,09/04/2023 02:42:24
HTG/SBD,50.55,01/24/2023 20:26:01
LVL/VND,708.68,11/09/2022 10:20:56
MGA/TWD,510.70,01/25/2022 09:31:24
EUR/IRR,686.70,09/06/2023 23:06:43
ZWL/WST,365.81,03/27/2022 10:54:37
BOB/CLP,374.03,12/21/2022 11:07:39
NOK/MYR,141.67,04/08/2023 02:02:13
HKD/LTL,445.73,03/10/2021 03:30:48
SVC/RON,413.80,03/30/2022 03:14:29
KRW/TTD,776.22,04/21/2022 09:36:46
USD/INR,908.04,05/26/2023 00:45:51
JPY/NZD,416.46,11/27/2021 05:31:01
HNL/XAF,557.88,02/17/2022 14:20:02
MKD/KMF,314.93,08/29/2022 17:22:55
LVL/TTD,758.60,02/27/2022 07:41:27
XOF/XFU,95.24,05/15/2021 03:59:57
LVL/BYR,572.17,10/07/2020 09:10:52
GIP/KGS,613.83,09/07/2022 19:32:39
LKR/VUV,679.43,09/24/2020 02:06:48
DKK/KHR,853.24,09/23/2020 21:18:05
GIP/DZD,717.14,09/25/2020 08:43:55
JMD/XBC,70.23,04/17/2022 02:08:08
JPY/LKR,810.94,08/07/2021 13:08:48
SZL/RSD,539.01,12/05/2020 08:14:13
OMR/UZS,346.25,07/25/2022 19:55:32
MWK/NOK,263.13,12/27/2020 13:41:42
XAU/SVC,689.32,07/16/2022 10:45:31
XAU/MYR,304.61,10/25/2022 04:04:54
ERN/NZD,458.44,12/08/2020 16:54:56
DJF/CNY,158.02,04/18/2022 20:02:32
ERN/XBB,488.08,05/30/2023 05:55:17
MDL/HUF,705.45,05/21/2021 03:44:46
KWD/DOP,631.64,09/09/2022 17:39:24
AED/CVE,25.92,06/12/2023 05:06:02
TRY/MXN,156.95,07/09/2021 22:24:07
THB/SVC,685.67,12/06/2021 20:16:38
HTG/RSD,899.93,09/05/2022 04:32:01
EEK/TRY,938.79,04/18/2021 05:18:15
XBA/AWG,715.53,06/27/2022 02:45:41
KRW/FJD,536.91,11/07/2022 09:06:25
HRK/KRW,553.56,11/29/2022 15:32:10
IQD/XBD,911.22,04/28/2023 21:36:21
XPT/GTQ,515.07,11/16/2021 01:27:03
XAF/AOA,419.45,03/03/2023 16:41:15
MYR/ETB,32.42,03/09/2023 08:56:35
BZD/CZK,147.75,05/22/2021 04:14:57
ILS/XFU,165.83,11/04/2021 13:41:55
SLL/MVR,598.06,04/17/2023 14:22:26
BBD/SLL,702.83,09/26/2020 05:05:37
VUV/ILS,301.87,07/05/2023 13:11:18
SBD/XPF,186.17,10/01/2021 02:55:18
HKD/ZAR,188.91,08/05/2023 09:27:51
JMD/UGX,200.18,04/22/2023 05:12:10
XBB/KGS,872.20,01/04/2022 09:10:49
EGP/BSD,895.19,12/26/2022 07:43:44
SAR/LAK,634.33,09/12/2021 20:13:52
KRW/UZS,387.59,09/21/2022 16:22:24
KES/GHS,77.52,12/09/2022 08:06:17
EUR/PGK,594.48,09/01/2021 06:29:14
UZS/CUC,907.14,09/27/2020 07:21:44
HTG/TTD,294.97,09/26/2020 18:51:52
USD/BWP,277.37,07/01/2021 19:46:55
CUP/GIP,615.10,09/17/2022 12:18:37
GNF/KRW,273.96,11/27/2021 16:10:09
LBP/COP,890.96,10/29/2020 13:56:52
ANG/TOP,423.18,10/12/2022 01:52:00
AMD/BRL,115.92,08/14/2023 03:08:51
AOA/BND,272.44,09/07/2022 13:54:32
VUV/SLL,438.39,07/30/2023 10:42:24
GBP/SAR,286.44,05/16/2022 08:22:08
ZWL/SDG,457.98,06/07/2021 21:02:55
SCR/EEK,157.33,07/04/2023 02:41:06
KYD/BBD,62.01,02/22/2022 16:06:41
ERN/KGS,373.40,07/20/2021 15:28:09
PEN/ETB,781.67,10/11/2020 02:11:28
CHF/XFU,226.63,10/03/2022 12:12:41
HKD/RWF,445.14,10/14/2021 16:27:49
BRL/TMT,722.52,03/16/2022 01:21:25
EUR/BWP,728.73,04/11/2023 16:41:55
TTD/LYD,438.71,06/29/2022 12:09:53
NGN/TWD,909.20,08/06/2023 03:05:33
TRY/INR,310.73,04/01/2021 14:48:48
SOS/PLN,671.27,05/23/2021 09:29:02
CLP/XBC,92.33,10/27/2020 21:03:42
DZD/LRD,298.80,06/26/2022 02:37:55
MWK/LSL,942.17,06/10/2023 07:19:44
QAR/LYD,553.09,05/26/2021 12:04:47
GIP/INR,938.16,01/19/2021 04:31:47
KRW/LTL,681.96,05/23/2022 16:37:18
GYD/AWG,641.37,08/29/2022 04:40:49
NIO/MKD,622.38,09/30/2021 01:17:49
KHR/TWD,240.51,03/02/2021 06:50:34
VEF/ALL,522.55,12/08/2020 09:49:53
BOB/XPD,575.39,12/18/2022 19:25:14
CVE/BAM,903.40,03/31/2021 04:12:42
NIO/TZS,785.40,12/29/2021 12:42:14
YER/XCD,724.95,04/11/2021 11:44:28
XAG/HNL,522.76,04/11/2023 21:26:57
SEK/TWD,783.13,05/10/2023 19:23:46
RSD/LVL,33.36,06/14/2021 12:07:54
HNL/ANG,70.49,12/02/2020 12:51:01
KHR/IRR,562.08,01/05/2023 18:03:25
BWP/KES,204.33,02/25/2023 19:55:13
JOD/OMR,120.32,09/19/2020 11:13:14
CVE/NIO,370.29,06/07/2022 10:34:25
BSD/XBB,138.54,12/29/2021 00:14:07
MDL/NOK,175.93,07/23/2021 16:36:13
XBA/ETB,641.20,02/16/2022 19:12:29
SZL/XPD,480.87,02/26/2021 12:37:29
OMR/GYD,199.07,08/30/2021 08:35:57
ALL/CHF,344.76,08/01/2023 05:54:55
BSD/STN,368.10,09/16/2021 17:40:46
HUF/SHP,3.38,06/25/2022 13:45:03
TJS/DOP,529.34,04/29/2021 19:20:10
AED/AMD,714.57,05/01/2021 08:43:08
GMD/BWP,9.50,09/16/2020 00:05:01
MDL/BYR,524.06,12/16/2021 09:58:53
NIO/SEK,265.41,12/01/2022 22:00:29
YER/IRR,855.60,07/29/2021 07:46:39
BIF/PEN,712.95,09/11/2022 08:18:49
LKR/MOP,600.00,12/18/2020 09:38:58
NZD/GIP,854.79,09/29/2022 21:36:20
JPY/MKD,470.41,02/01/2023 11:49:12
MOP/WST,58.02,01/06/2021 03:17:14
CLP/FKP,491.67,04/19/2023 21:44:10
VEF/GTQ,478.85,01/17/2023 08:55:42
KPW/SGD,823.13,07/30/2023 05:19:46
AMD/CAD,463.55,09/11/2023 22:27:13
DOP/KMF,85.68,09/20/2022 14:18:17
INR/UGX,245.84,03/09/2022 11:48:33
UYU/NOK,453.85,10/09/2021 07:37:28
DKK/ZAR,94.16,02/21/2023 14:07:13
WST/LSL,302.44,07/01/2021 22:58:48
TOP/HTG,785.73,09/13/2022 23:34:14
RON/COP,824.82,09/13/2022 17:03:32
KZT/HUF,720.16,09/09/2023 22:35:29
XBA/XBB,254.35,01/04/2022 18:59:18
ETB/KZT,467.91,04/18/2021 21:56:08
NAD/MKD,404.72,02/11/2021 17:19:07
PLN/PYG,109.38,10/10/2020 10:11:55
FJD/PGK,498.96,01/16/2021 17:30:54
OMR/MXN,813.83,03/19/2022 00:55:05
CUC/UZS,940.82,12/14/2020 01:57:42
BOB/LVL,870.53,07/08/2023 17:32:50
PAB/BSD,971.79,02/20/2021 22:04:31
KPW/MOP,176.08,05/13/2023 01:43:36
LAK/CUC,903.84,01/10/2022 03:46:46
KHR/HRK,401.15,06/24/2023 15:57:13
SVC/BHD,430.34,10/06/2022 01:24:58
HTG/BMD,631.46,03/31/2022 22:35:11
QAR/KES,369.98,11/04/2020 06:54:44
MUR/ANG,267.33,09/02/2023 00:18:03
IRR/ARS,97.76,12/19/2021 10:05:43
MDL/MWK,830.77,11/16/2021 12:34:23
BOB/ETB,890.60,08/30/2021 03:34:58
CLP/MZN,449.29,01/10/2021 21:11:44
BDT/ERN,131.24,01/09/2023 11:43:22
XPD/THB,837.77,06/08/2022 22:55:08
NZD/BYR,656.60,01/14/2022 09:18:40
XBC/BRL,321.30,09/04/2023 19:00:18
XBD/PEN,858.00,04/28/2021 16:59:59
JMD/IDR,741.15,09/20/2020 05:25:25
MKD/VEF,245.04,08/04/2023 00:16:53
WST/VUV,744.16,11/28/2022 15:25:18
KYD/SBD,117.88,01/18/2021 03:21:16
ISK/HNL,578.30,06/18/2021 12:15:25
UGX/XDR,608.26,12/15/2022 17:32:10
CLP/TOP,39.60,05/27/2022 00:31:39
CUC/BTN,131.04,08/08/2023 23:53:48
JOD/NOK,617.37,11/07/2021 22:46:31
IDR/TOP,803.31,09/06/2023 12:58:38
HUF/DOP,935.46,08/26/2022 21:38:58
ILS/SZL,770.72,09/12/2021 16:57:16
KGS/XAG,372.88,07/13/2023 23:43:25
KRW/FKP,301.85,01/12/2022 07:52:25
TZS/UGX,194.48,08/27/2021 04:37:28
RWF/THB,828.24,11/11/2021 05:39:33
BZD/UGX,425.19,04/03/2021 21:36:39
CUP/BAM,144.11,04/26/2022 18:25:43
TRY/IRR,722.88,04/21/2021 09:21:17
TJS/VEF,333.23,08/05/2023 04:27:16
XCD/AMD,236.99,12/28/2020 21:00:03
PAB/FKP,786.00,12/26/2021 02:25:35
MZN/TND,327.26,02/16/2022 02:30:30
BWP/SOS,117.51,07/10/2022 18:20:21
YER/GYD,995.93,02/22/2021 21:34:00
AOA/PLN,792.65,02/10/2023 11:24:31
LTL/TJS,808.54,08/18/2023 01:21:43
PLN/HUF,0.94,12/02/2022 06:40:21
SRD/SDG,668.23,09/29/2021 17:37:09
ILS/TRY,198.76,10/11/2022 13:37:39
DKK/GEL,917.46,05/05/2021 17:00:16
TRY/KGS,689.50,09/21/2021 14:22:49
PAB/XPD,531.52,02/23/2021 00:21:36
SCR/BYR,189.98,12/10/2022 16:51:27
TMT/TJS,512.17,03/06/2023 01:32:08
KES/GNF,844.77,09/22/2020 22:00:54
MVR/AZN,984.45,03/03/2022 01:27:34
SVC/AOA,258.12,07/26/2023 18:47:54
SBD/CUC,298.93,01/23/2023 02:35:55
NGN/AMD,77.33,08/30/2021 01:30:39
BWP/XTS,405.69,06/17/2023 13:44:36
NPR/SLL,901.28,11/08/2020 21:55:44
TZS/LVL,242.46,09/07/2023 03:52:32
LBP/RUB,953.50,12/21/2020 17:51:38
PKR/AZN,554.43,05/15/2022 01:51:00
BZD/GIP,151.61,01/25/2021 23:51:12
KPW/LSL,554.03,08/02/2021 00:43:54
CZK/DOP,144.12,08/13/2023 18:10:28
DJF/MUR,249.73,04/16/2023 05:40:06
TRY/MWK,198.03,09/21/2022 22:33:33
NIO/GIP,808.46,05/17/2022 14:31:47
SRD/BND,13.38,05/13/2023 21:52:49
MAD/LTL,449.70,05/16/2023 15:30:44
GYD/MAD,676.38,11/09/2021 20:12:41
HNL/CDF,353.63,06/22/2023 07:00:04
JOD/INR,477.33,11/15/2022 13:31:03
