SecurityId,Quantity,MKV,ToBeDropped,FundId,AsOfDate
GOOGL,516.78,561.76,055904e3-7e1e-c1fd-1780-012e7c34c013,F003,03/03/2021 09:22:38
FB,970.79,125.43,504412d7-b2a4-9ecd-872d-8d7647c9f6dd,F005,01/18/2022 23:42:03
MSFT,827.44,263.19,18bf3e6f-59ff-d44c-541f-264d14c4badd,F004,02/20/2022 22:14:50
GOOGL,898.67,408.68,dc4726d0-b9cf-e586-9cc0-21796732af68,F002,12/29/2021 20:08:09
MSFT,391.07,202.00,842cd819-bdee-b9d7-19b9-e8c11edbea4e,F002,05/25/2021 08:13:40
AAPL,714.87,824.37,0237ceef-050d-5fc1-d1cb-0d222685b59d,F001,08/07/2023 15:54:49
AAPL,724.95,775.73,3ecb53a5-f96e-18e7-f4ea-895a740e6b80,F001,08/22/2021 11:52:14
GOOGL,565.69,923.04,d7520964-970a-fa68-fefa-9a994f5990f9,F003,05/13/2023 01:39:22
AAPL,244.70,717.00,518a1541-decb-d2ee-9773-9358717c851e,F005,07/24/2021 01:04:04
FB,209.66,867.80,54e8f769-d102-1b8e-6877-656cc676b3c5,F005,05/11/2023 04:29:05
AMZN,180.56,249.28,6ef74071-6598-d502-9ea2-9b288d458976,F003,10/23/2021 16:04:25
MSFT,675.05,24.77,70d87a4b-6a3c-cd5c-d3d2-083ffd43b530,F004,06/23/2022 11:23:13
FB,867.90,536.56,ff4773fa-ab0b-eef2-0504-337a0ff9fd5b,F002,09/15/2021 12:47:03
GOOGL,625.94,829.94,da7526c7-5cc7-e046-5073-089bd31e5ba8,F005,10/14/2021 10:26:28
FB,504.93,42.09,63395a00-6f2e-dd98-0317-f1fb0c9c58ab,F004,09/22/2021 08:19:25
AAPL,928.11,413.42,54597299-c273-d105-9031-b74916ab5050,F001,10/10/2020 04:28:54
AAPL,805.26,855.71,27dab697-a093-691c-3669-e6a5273d8dac,F005,07/09/2023 04:52:05
AMZN,830.09,519.17,62ab2e2a-9dec-985b-c1c8-f510bb280f14,F003,09/29/2020 12:28:17
AAPL,768.51,141.22,90b65b14-da52-3812-a82c-c1de91c7c127,F002,07/30/2022 13:40:10
AMZN,234.18,341.32,05aff46c-0438-5f8d-9650-ce3f7baee104,F005,01/14/2022 04:01:48
FB,898.71,102.28,c5ab28fe-9ef6-115c-ba1d-3058a452195c,F001,06/17/2022 00:15:43
AAPL,864.30,93.98,e2852686-ae80-2f97-2581-0242d765ff0b,F001,01/28/2023 16:36:54
GOOGL,942.66,42.24,269259a1-9e5f-84c8-50e5-8fc58855854d,F003,12/21/2022 19:59:00
FB,705.82,621.57,91092afc-6b53-3783-aed1-8d4c70d0e4f8,F001,09/09/2023 15:03:20
AAPL,17.56,264.53,7aab7ed8-f717-6870-5f14-6ce7f63a7590,F004,06/29/2022 13:13:26
AAPL,769.61,110.56,f37dd415-85d8-43c0-ac6b-0707d47c5f7c,F004,12/27/2022 04:48:12
GOOGL,674.15,256.58,5cbfe2bf-396c-91ba-3464-86c9d738b6cb,F003,05/26/2021 12:40:54
GOOGL,155.84,514.87,516a587f-2afa-b8a2-1f82-95dc5026aaee,F005,05/01/2023 07:16:01
AMZN,63.01,251.67,6d529f8e-9645-089c-8f61-72aae7bae0bc,F001,02/19/2023 22:09:02
AMZN,211.80,491.79,cc5689ca-26a9-e1a8-9182-044aa7010993,F004,07/29/2022 22:38:16
AMZN,276.32,913.25,b6d1b6e2-1b75-502c-0691-2570c5770cbb,F004,08/18/2023 19:36:28
AAPL,534.05,607.06,23931de2-8601-6aa2-5fcf-e4cd97a17afc,F004,12/24/2022 18:03:17
GOOGL,393.88,678.96,3574b260-51e6-a30a-843e-a1abcfa4a998,F004,07/24/2022 05:25:13
FB,906.83,238.59,0496547d-6aa1-2f47-ec38-e33a434c4f7f,F003,08/23/2021 15:57:07
AMZN,517.04,719.78,e6676feb-99bf-5376-d347-227a21effbfe,F004,10/25/2021 09:27:54
AAPL,699.58,383.75,92f999a4-0fee-bb83-6a12-f5564518a59e,F002,08/19/2023 06:44:36
FB,510.02,788.89,cac9b50e-b103-186c-3eb1-20210bf9f7aa,F004,07/25/2023 19:49:10
GOOGL,929.57,731.56,52da0d58-ebe1-6fba-c966-7093d6dbdf5e,F003,01/11/2022 12:27:50
AMZN,153.85,903.45,6f52bc79-dc00-f727-0842-8c4e081f2d93,F002,03/13/2021 06:44:56
GOOGL,158.19,55.39,19cb48c5-ca9b-2a8f-5b3a-420aa1bcddda,F004,03/26/2023 09:23:12
FB,205.05,14.45,db54ef4a-f33a-d9a3-9d3a-42ef2f5dd38b,F003,08/26/2022 12:37:19
FB,849.07,613.53,b6bc8fa6-c896-1764-925a-b40e9b413996,F002,09/18/2021 08:23:12
MSFT,480.48,123.69,cd22c682-dc17-e5fd-3c12-4ced1219d7ee,F004,08/14/2021 21:17:37
MSFT,287.50,418.12,12701524-b050-5309-7759-8ec3ef491709,F005,04/26/2023 03:42:32
GOOGL,210.66,498.83,78eb0848-91fb-4cb9-8f1c-d03310dd3e03,F005,02/06/2022 18:24:32
AMZN,988.17,411.17,d7cb277c-c2f7-3d28-6440-7c1b4d9055e9,F002,11/08/2022 11:11:35
AMZN,166.01,730.47,4f5f7f7c-61cf-8df2-cf05-d95e5f82fe08,F003,11/28/2022 14:09:02
AMZN,692.09,796.31,0a198c2d-dc26-7de4-e117-1fa85c3344b6,F003,12/21/2022 05:05:36
MSFT,706.60,184.16,f8c4769a-e1b7-28bb-33f2-267d19884de0,F005,01/16/2023 12:10:10
GOOGL,577.99,803.95,63bf9d21-2305-7f13-63be-bc86b28d0a22,F004,01/18/2021 15:34:34
GOOGL,236.75,348.00,e3af33a8-082b-6c1e-3f5f-e8692bd4d5b0,F005,11/21/2020 07:55:00
FB,429.08,527.04,f545d349-8f2e-9680-014b-86af33d8c6ba,F003,12/12/2022 05:55:43
GOOGL,783.74,12.92,cb98b125-9e74-ad91-12d7-0983fd99827b,F004,11/16/2020 17:54:38
GOOGL,889.75,543.80,cb52cd30-b965-e4a8-6c37-fb47e894ce31,F004,11/10/2020 23:15:43
AAPL,256.49,850.51,256a5bca-c7f3-2f41-e8b9-3bbe13fb987f,F005,10/10/2022 15:44:41
FB,138.68,257.81,b5c985c4-ed98-02dd-d002-755e2cad0c05,F005,12/30/2020 12:28:20
MSFT,710.89,50.49,68ca7821-7816-cf44-c133-45ff295b2f74,F004,06/20/2022 17:15:30
AAPL,161.17,212.42,43174dd1-d393-b051-1139-91f0756c64f6,F004,10/01/2022 18:07:56
FB,521.50,781.36,e8d6cdd0-719b-1bf3-77b7-1f8bad26f493,F003,01/13/2022 20:03:42
FB,247.76,149.11,62ce9251-5b30-630b-d6f1-56946644ffa7,F001,01/14/2022 17:50:34
GOOGL,452.21,974.78,8c8db4fe-3496-231d-ed6e-6de09298b847,F004,01/10/2023 23:04:53
AAPL,700.73,211.73,92e056be-f426-14b7-1b00-3b9a145d0c69,F004,06/15/2022 01:16:57
AAPL,415.32,809.94,d5e069f1-15e6-c3e3-1f13-1425b99e12d8,F003,01/12/2022 07:15:28
AAPL,463.88,229.80,8c9ce38a-8f66-f5b8-3b6e-0b39ca2be606,F002,01/21/2021 12:40:26
GOOGL,778.37,713.99,bc2efe4a-7f86-8e73-f8f3-5bef0e38f1dc,F001,12/28/2020 14:36:32
FB,950.23,950.82,87c06097-b324-33b0-f801-c458c135f08a,F001,03/03/2021 18:44:30
FB,704.14,321.49,360099ef-94d6-711d-f4ad-05cd97ee4d87,F005,06/19/2023 07:59:58
MSFT,626.43,35.91,2fbbe868-f120-9435-ffb6-2daf92776021,F003,10/04/2020 02:39:39
AMZN,85.30,606.50,b189109d-fb57-e801-e6f2-507d4cf049b0,F004,06/30/2022 03:27:46
AAPL,605.35,963.98,dce24900-3dc0-e9d6-04f6-6077a5c15c08,F001,03/07/2023 18:40:12
AMZN,236.42,834.92,1ee58a84-4f5a-3250-2a63-37ba1b348fd6,F004,04/09/2022 07:20:14
GOOGL,418.87,630.61,453b6722-5c91-e4b5-3217-80795b104ff5,F003,11/02/2022 23:24:31
AAPL,951.56,484.26,a35d75d2-9918-3db7-17a7-308c5bd3f11a,F002,02/06/2021 14:32:31
MSFT,40.78,533.22,7700a969-f1ed-8444-20d3-8ee8a88979f6,F001,06/02/2021 04:00:27
AMZN,391.59,991.60,34aa8430-39b8-df77-c494-add47126b3b9,F005,02/09/2023 18:15:19
MSFT,136.29,770.64,d5911c0f-138b-7aea-029b-4542e4ad844f,F002,01/07/2022 20:09:27
GOOGL,284.99,962.86,d5b9037e-84d5-3961-9bf1-1d8d78c4c011,F005,01/21/2021 11:16:58
FB,131.25,262.77,f53fb672-6c95-e993-56a5-a59f482479d7,F004,03/02/2021 16:39:27
MSFT,312.38,471.91,56978425-2769-d060-c0fa-c9bec6f81f53,F001,02/08/2021 00:28:35
GOOGL,961.66,377.77,4c17c79f-da75-3b9c-50e4-0c436bd6803f,F004,01/28/2021 04:39:08
AAPL,572.26,441.62,c762fce0-8095-9c4b-2a50-019164a17e0b,F001,01/21/2021 22:54:46
FB,977.26,111.02,8799b6e5-b185-b337-8b03-50b2184b7f6b,F003,12/21/2020 23:14:13
MSFT,867.72,771.83,1cb39f85-52b6-3d79-afeb-e8eb0334f543,F001,06/24/2021 06:43:51
GOOGL,877.76,204.34,5466c0a9-29dd-ee92-d44d-9f26bf88c45b,F005,10/20/2020 09:35:06
FB,702.89,965.29,150f8e50-caad-4822-9a7e-045a56dc9c3d,F004,03/15/2023 12:36:16
AMZN,362.67,681.11,0016764e-91cc-bd47-36b5-f844a268bad3,F002,07/09/2023 09:53:24
GOOGL,721.24,31.45,ee7aeb4b-9c0f-b646-f562-3efda7c313ae,F004,06/09/2023 16:36:05
FB,609.31,16.86,59464bdb-9532-2a58-3e21-29e6db0c8612,F001,07/23/2023 04:25:31
GOOGL,755.69,808.49,b5845564-43e8-fa09-e109-4223abe5d20f,F004,03/04/2022 15:58:34
GOOGL,162.45,444.85,d0c5b0fa-fe34-125f-3447-1500f9d2bb5c,F001,07/15/2022 18:24:37
FB,729.69,965.90,244da93f-b650-5145-2855-79c3b770911d,F001,03/28/2023 19:05:50
AAPL,261.35,306.95,7674d356-643d-8596-bd7f-96813cd67eea,F005,08/21/2022 08:40:06
AAPL,58.22,56.39,a8830fc3-0ae0-0bb4-9a72-f31be08f9e06,F005,03/19/2022 23:54:17
AAPL,597.85,535.20,5da0e4ca-b4b5-21ae-46d1-8e63fcac0fc2,F005,01/22/2021 04:16:19
AAPL,85.57,381.18,6506fe00-5efd-7215-0253-6551aee36696,F005,09/17/2022 23:09:16
AMZN,894.42,104.10,6e26a74d-fc4c-891f-6e13-fc62f15bd11a,F002,09/10/2022 02:03:17
FB,662.52,353.70,5db631ee-8e38-d984-377b-05abacc25108,F002,01/21/2022 04:55:13
GOOGL,7.56,914.87,9947756d-eb1e-bef1-21d9-c7e3a0657dcc,F001,06/30/2022 14:54:33
GOOGL,167.04,239.15,9b391dda-b7f9-cda9-2a5e-cbc943c9ff6d,F002,07/29/2023 09:03:09
AMZN,772.82,791.00,8616a57b-fe1a-a0ed-c4ec-28d126083d54,F001,04/19/2023 15:59:46
AMZN,423.52,921.55,9326efd5-7ca4-8247-a370-63208b511ad0,F002,07/14/2023 21:33:20
GOOGL,227.12,583.41,28ff5d00-cd9c-0b0d-9143-40e564558f01,F003,02/15/2023 06:46:48
AMZN,712.99,250.69,1b77cce4-5259-6e4c-73ac-8747398b8b79,F005,07/08/2023 08:55:54
AMZN,758.42,598.96,5c7305d6-4f96-65f3-4e15-142087e9b9bc,F003,10/07/2022 08:01:15
AMZN,351.36,587.44,0fd92df7-7eac-e782-b7c3-c963454a96de,F001,04/01/2022 10:33:41
GOOGL,406.95,316.88,c44b1331-8583-98c8-21ed-d322b046f86c,F001,07/16/2023 13:47:22
AAPL,202.22,143.55,4b50ae3c-6c34-c7a5-03a1-a0b85e16b126,F005,02/15/2023 21:14:53
AMZN,602.06,286.04,c310e148-91dc-871e-2d3f-ee30f9ff255d,F004,04/07/2023 23:37:16
AMZN,268.35,761.88,61c3d2cd-ee6b-561c-f688-5c9005f809cf,F005,07/12/2023 11:26:32
AAPL,612.65,849.55,406326db-0538-c8e6-8cbd-851217e40a06,F001,10/09/2021 11:56:59
AAPL,880.20,341.03,3f6d93f8-da75-cb1e-cb95-c020fe7c9751,F003,12/22/2022 07:38:12
AAPL,439.57,913.12,680191c4-f5a1-313a-5f8a-12fba51af007,F003,04/21/2022 16:53:37
AAPL,32.36,495.75,0fcb6cef-35c3-5fc8-75f9-2b3883d4fa17,F001,08/29/2021 15:29:34
AAPL,364.06,782.08,bdfb6981-4576-454a-d8b1-c66254d22b6c,F001,06/15/2023 20:25:14
AMZN,311.69,626.42,af24c18a-ffd0-2a3a-07f3-22cd77f110be,F005,03/26/2022 14:49:02
FB,898.19,16.67,bc834f66-5fb1-ad5a-d5be-8b7959a13d06,F002,11/12/2021 09:47:42
AMZN,805.66,306.77,2f4af43f-6aac-914e-9a11-16ccc0aaf073,F002,02/23/2022 20:07:48
FB,807.81,127.82,49bd7581-85ef-1d55-a6bf-2ee548bb56e4,F002,08/28/2022 16:35:39
MSFT,365.36,587.97,67a1b2f0-b772-ca0e-9170-deb855bbd16c,F003,11/01/2020 06:06:05
GOOGL,346.97,701.79,d9544e5b-1901-e91f-ff34-b126892b6832,F002,01/21/2023 09:20:50
AMZN,47.28,493.89,572c1e58-48a1-ac6c-1feb-40921490792d,F002,05/05/2021 14:36:33
FB,982.06,900.64,aaff0bbd-eab3-b448-2f1c-0b92f68c3061,F001,11/21/2020 16:11:41
FB,570.41,274.67,c43ba9d8-febd-0f01-e725-802efbeeb7b8,F005,11/07/2021 18:26:58
AAPL,400.11,986.14,c0a5132e-1a75-bb77-8758-1304e7f5baf5,F005,10/29/2021 19:26:37
AMZN,813.86,119.03,59e9fe06-9728-b4cb-f1de-1dfb49870763,F004,12/01/2021 10:23:33
MSFT,3.23,657.45,70ed0cb0-0b5e-a129-9bbc-15c9a8f59877,F001,12/24/2020 21:32:00
MSFT,966.14,937.83,83826c15-6108-d64e-a05b-3e2fb67415df,F004,07/10/2022 16:27:06
AAPL,731.73,790.19,ed884b0a-a05f-8214-90d9-81474d439896,F001,11/07/2020 06:14:14
FB,483.80,170.17,ee2c3cbc-8efa-e8d7-142c-f5277435672e,F005,06/12/2022 13:50:56
MSFT,359.33,985.35,f8bfbac8-72aa-9d01-402a-9fc53296253c,F003,08/11/2022 13:33:24
GOOGL,21.51,288.47,f9f1733f-1b70-e932-a602-df66801d3ac6,F001,04/09/2022 09:34:52
AAPL,505.29,103.81,aaf9163f-1ffd-57cc-efd8-e2e7cf1d2021,F005,08/25/2021 06:24:49
MSFT,19.81,585.53,5069a5e6-bb92-1845-c59b-8ffd9686459f,F001,11/19/2020 22:06:57
FB,688.19,836.80,9aff4607-a753-9892-0303-0febf2e7962f,F005,06/15/2021 23:04:43
MSFT,177.42,881.81,f252adae-7f6d-ad08-bd8d-b8d0a617b59a,F001,12/11/2020 18:39:54
FB,236.59,625.71,34e8e35b-93ef-910e-605b-1660ee358e66,F001,03/03/2023 04:35:42
AMZN,267.22,248.16,c76c5212-e38b-39df-4d81-06fcb1fa9b13,F002,08/22/2023 19:55:02
AMZN,489.67,253.74,b42a3ed0-607b-6abc-27c8-df7ff8436170,F005,05/22/2022 00:18:48
FB,563.75,6.81,40d335e6-1208-3e8e-b4bc-723f4e7a8a4d,F002,09/19/2021 21:07:46
AMZN,624.14,529.69,ed7715fe-df18-f662-37c6-7e618a09f2ad,F001,10/12/2021 01:21:59
AMZN,652.54,712.92,674f9fcf-2026-0ef2-6bde-4b9ffbbec295,F002,12/25/2022 18:32:17
MSFT,169.51,529.97,e4a6b883-01cb-04f4-8fd9-73785e95e9fb,F004,01/23/2021 10:35:36
MSFT,547.11,50.56,9465e027-760b-6a9d-174a-cae9d8fc7ac2,F002,11/21/2020 23:03:47
AAPL,160.11,999.00,1cf4cbec-ed0b-6414-4596-75597da6060c,F004,01/18/2022 16:03:42
AAPL,237.14,993.47,ce6b624b-b6a8-0b7a-0c67-547b6d0437d2,F002,10/05/2022 08:53:08
FB,825.62,349.47,e5362c28-3a6c-0d06-9611-4244440ed80e,F004,12/19/2021 02:17:27
MSFT,80.24,734.38,e13ea76b-971f-0c1c-ecde-2dc0d8ace62f,F003,05/18/2021 14:36:04
AMZN,152.00,463.79,9b430458-5299-af28-dc9d-065ced451ac3,F004,10/11/2020 16:11:14
FB,933.00,208.57,bfa84d1d-56bc-47eb-adaf-8baf7b393fe9,F004,08/14/2021 19:33:34
AAPL,908.58,685.14,34e9a0d3-7f0b-0c33-099d-f97ceadf105d,F003,10/21/2020 23:12:15
GOOGL,208.72,231.55,f93b2994-bfe5-3c2f-eea3-6c72633366e0,F005,12/03/2021 09:12:34
AAPL,718.90,970.28,7dc73f4c-011a-a0ef-e4c6-20cd070ddd3a,F001,10/08/2020 14:05:41
AAPL,348.17,316.10,b37e1aaf-6512-b2d5-22f4-fd339ef4dd9e,F004,04/26/2022 07:53:41
AMZN,432.30,168.76,bb3812ed-5c1c-2609-2f06-ffa35f61547b,F003,05/13/2022 16:23:33
GOOGL,704.55,859.43,4da77fed-640b-7e21-f4ed-3d57aad35d35,F003,06/20/2021 19:41:13
MSFT,496.67,757.54,e7cdb31b-20ed-2559-6451-316d3e1231ee,F002,07/01/2023 03:26:11
MSFT,201.22,37.84,7bc0cbc3-055b-e109-5b65-35dd9dea720a,F003,03/11/2022 20:49:01
MSFT,112.54,414.61,952c4688-7160-8cb1-1ea0-5a587571baf9,F005,10/02/2021 05:20:55
GOOGL,686.26,50.77,6eff0d3f-27f8-8813-19a7-46a3dccd1d81,F002,10/26/2021 01:52:33
FB,413.84,617.72,02a7e17d-c430-22a6-1896-6a0d8976d0bc,F004,11/13/2021 15:25:57
AAPL,695.71,898.79,4fd36f46-17bf-5a33-acb2-50af3b1f7829,F005,02/28/2021 22:38:31
MSFT,52.77,682.14,d93d64e9-9847-e6dd-6ba5-febaf419299c,F001,11/02/2022 11:44:19
AAPL,97.89,456.44,e63ce873-9fac-3918-d615-cf311cf80e13,F005,04/13/2023 22:01:02
MSFT,163.20,968.66,65e0b0e1-a2ee-7b1c-9af4-bfd7a2fa18e9,F003,11/09/2022 14:20:48
GOOGL,836.49,565.87,078651dd-9624-6839-4cd8-47081592c026,F004,03/10/2022 14:58:16
GOOGL,987.97,338.66,bd0ddeed-8a1b-f4e8-e7ff-49142f11ce0d,F001,06/02/2023 22:35:30
GOOGL,838.64,700.65,138832a4-dd0c-9cc6-afbe-cef461068f71,F002,06/16/2022 06:45:28
FB,97.44,479.95,1775168c-4b87-99db-02f0-c6c0715cf8f3,F005,11/26/2021 19:35:01
GOOGL,465.46,21.58,be760ca4-62c7-54a1-80dc-f225310a8b04,F005,08/25/2021 03:48:02
AAPL,318.75,975.30,3cede294-a694-dae9-0e7e-8f0b2743d2ae,F004,10/12/2022 04:19:11
AAPL,492.55,567.12,e2f36a75-1f40-5c06-2884-8dd2f1f5f037,F005,08/11/2023 01:40:59
MSFT,276.64,601.06,f07d70e9-5a97-c80c-9d69-a66ad99eb03b,F001,12/25/2021 21:30:33
GOOGL,787.98,626.28,f126819d-6538-88c6-f4d1-8becd3852803,F002,11/09/2021 02:47:20
AAPL,239.20,695.05,567d8a1b-9d4c-ba78-54df-4777e0cda744,F004,10/22/2020 04:45:27
AMZN,791.13,57.17,90446d24-cb6e-11ea-2ab8-3662c723b495,F004,05/07/2022 13:35:42
AMZN,365.95,908.49,0bea6bd0-e513-fe87-a825-1cd4b01f9ff0,F005,09/19/2022 16:00:36
FB,961.70,253.06,626af675-9dad-a435-7839-71e84b7ee97d,F003,10/19/2022 04:50:14
FB,733.75,53.45,99d5234e-1010-0713-f416-a1936208988a,F005,01/06/2022 14:56:31
AAPL,272.86,48.61,20b61b6c-53f0-e2f3-55ec-5c327912cd5d,F002,01/02/2022 13:41:53
FB,390.05,515.62,92580005-c9ac-86b0-d273-79ac468bb461,F002,08/29/2023 14:36:05
GOOGL,466.55,26.89,a4f8b11d-da22-f357-8984-bf6ec2ebae3b,F002,03/18/2021 11:40:06
GOOGL,502.57,883.24,f56b749e-2e51-2673-fea6-891e5fd93233,F001,06/29/2023 00:24:03
GOOGL,684.44,888.17,f4c1fcd9-c426-10af-937c-b96eb195b9b1,F002,02/05/2023 03:10:15
MSFT,943.72,534.67,e0e51e03-e9af-7ffa-81b6-253b267ec5e3,F002,07/24/2023 13:31:16
AMZN,46.95,393.63,efdd096a-a46b-6441-d9dd-e4b1e4944921,F002,04/13/2021 02:51:45
FB,484.24,885.55,84fd5541-9273-2391-6ee8-c475aa8da2b1,F002,09/29/2021 05:59:45
GOOGL,18.93,71.93,bf633926-0322-7547-3ce5-f5fd2331329e,F005,04/17/2022 14:09:02
FB,652.10,978.26,b542a37a-bdde-0425-1690-2e5aa3112fb5,F003,01/29/2022 02:40:49
MSFT,658.59,294.32,2032181a-e3c5-e586-bf58-9f1a4b2f7bf0,F002,01/01/2022 21:32:35
GOOGL,662.36,521.56,bb50f287-a33a-9c7a-5ed1-2b1cceecd2bd,F001,12/28/2021 14:03:01
MSFT,548.88,243.69,a243b4cd-d9a4-b7a5-affd-c729cc4552ad,F005,07/27/2021 20:57:44
MSFT,614.61,306.74,531bb3e4-3124-42ca-899d-f74198752bd3,F005,02/12/2022 09:54:27
MSFT,772.28,532.65,b6b06dff-f63e-f848-164e-ef12b502ebfb,F002,07/28/2022 08:56:57
GOOGL,703.75,539.53,0b68bdeb-0023-535a-f1bb-e1cbb9f0f66f,F001,05/14/2021 13:17:24
GOOGL,704.73,983.93,284e08b8-ae2f-38b6-904c-abbe377a4cce,F004,12/30/2021 19:45:48
AAPL,264.41,409.48,1ff86fb1-d38e-a7c9-5f60-2ea4a3e78d06,F004,11/06/2021 20:07:19
GOOGL,965.13,991.67,aed29500-a5ea-508c-a4f9-69e1b575c059,F005,10/25/2020 11:36:30
MSFT,191.74,895.32,d1dfba81-b227-9a5e-bc93-b973fa5378f7,F004,09/30/2020 04:44:47
GOOGL,582.85,999.65,a68ac9e2-c6eb-73ca-227c-1d0ee220a896,F002,07/28/2022 11:37:21
GOOGL,671.70,898.06,2e83de80-3efd-80eb-5932-cab11f99f46a,F001,10/05/2022 23:36:33
AMZN,358.28,154.85,54ab3bd7-cf91-b072-c98d-e66b9d7b1dbc,F005,12/16/2021 11:14:29
